TIME,Bessel_2,butter_2,Cheby_2,Vin
0,-0.00500217,-0.00500224,-0.00500178,0
3.558128752E-08,-0.00499275,-0.00499271,-0.00498723,0.011178
4.007719589E-08,-0.00499156,-0.0049915,-0.00498575,0.0125904
4.906901263E-08,-0.00499003,-0.00498997,-0.00498279,0.0154152
6.70526461E-08,-0.00498697,-0.00498689,-0.00497864,0.0210648
1.030199131E-07,-0.0049839,-0.00498381,-0.00497402,0.032364
1.74954447E-07,-0.00498179,-0.00498174,-0.00497093,0.0549625
5.418312965E-07,-0.00498116,-0.00498145,-0.00497075,0.170188
7.92986487E-07,-0.00498002,-0.00498039,-0.00497062,0.249021
1.069473494E-06,-0.00497744,-0.00497922,-0.00496936,0.335732
1.424295331E-06,-0.00497171,-0.00497568,-0.00496775,0.446859
1.903046824E-06,-0.00495817,-0.00496729,-0.00496326,0.596436
2.5671835E-06,-0.00492447,-0.00494639,-0.00495223,0.803012
3.466421052E-06,-0.0048417,-0.00489495,-0.00492528,1.08042
4.694774949E-06,-0.004636,-0.00476681,-0.00485828,1.45361
6.361977017E-06,-0.00412891,-0.00445,-0.00469245,1.94587
8.635939368E-06,-0.00287971,-0.00366655,-0.00428103,2.58187
1.176309215E-05,0.000196899,-0.00172692,-0.00325689,3.3681
1.509642548E-05,0.00558011,0.00168652,-0.00144313,4.06282
1.842975882E-05,0.0134562,0.00670989,0.0012436,4.57996
2.176309215E-05,0.0240397,0.0135008,0.00490046,4.89695
2.509642548E-05,0.037409,0.0221338,0.0095829,4.99991
2.842975882E-05,0.0534971,0.0325936,0.0152999,4.88435
3.176309215E-05,0.0720931,0.0447735,0.022013,4.55532
3.509642548E-05,0.092851,0.0584805,0.0296371,4.02721
3.842975882E-05,0.115306,0.0734435,0.0380448,3.32308
4.176309215E-05,0.138894,0.089325,0.0470716,2.47372
4.509642548E-05,0.162981,0.105736,0.0565228,1.51625
4.842975882E-05,0.186885,0.122255,0.0661826,0.492506
5.176309215E-05,0.209912,0.138443,0.0758227,-0.55276
5.509642548E-05,0.231387,0.153866,0.0852133,-1.57387
5.842975882E-05,0.250679,0.168113,0.0941321,-2.52619
6.176309215E-05,0.267237,0.180814,0.102375,-3.3681
6.509642548E-05,0.280606,0.191657,0.109763,-4.06282
6.842975882E-05,0.290457,0.200401,0.116154,-4.57996
7.176309215E-05,0.296593,0.206888,0.121445,-4.89695
7.509642548E-05,0.298964,0.211047,0.125578,-4.99991
7.842975882E-05,0.297669,0.212902,0.128543,-4.88435
8.176309215E-05,0.292952,0.212568,0.130377,-4.55532
8.509642548E-05,0.285188,0.210246,0.131166,-4.02721
8.842975882E-05,0.274873,0.206216,0.131036,-3.32308
9.176309215E-05,0.262602,0.200824,0.130151,-2.47372
9.509642548E-05,0.249039,0.194466,0.128707,-1.51625
9.842975882E-05,0.234892,0.187573,0.126918,-0.492506
0.0001017630922,0.220884,0.180593,0.125013,0.55276
0.0001050964255,0.207718,0.173967,0.123221,1.57387
0.0001084297588,0.196049,0.168115,0.121764,2.52619
0.0001117630922,0.186456,0.163414,0.120847,3.3681
0.0001150964255,0.179416,0.160185,0.120648,4.06282
0.0001184297588,0.175285,0.158677,0.121309,4.57996
0.0001217630922,0.174282,0.159056,0.122933,4.89695
0.0001250964255,0.17648,0.1614,0.12558,4.99991
0.0001284297588,0.181802,0.165693,0.129257,4.88435
0.0001317630922,0.190027,0.171828,0.133928,4.55532
0.0001350964255,0.200799,0.179612,0.139509,4.02721
0.0001384297588,0.213642,0.188772,0.145871,3.32308
0.0001417630922,0.227984,0.19897,0.152852,2.47372
0.0001450964255,0.243178,0.209816,0.160257,1.51625
0.0001484297588,0.258534,0.220887,0.167861,0.492506
0.0001517630922,0.273349,0.231744,0.175465,-0.55276
0.0001550964255,0.286936,0.24195,0.182811,-1.57387
0.0001584297588,0.298658,0.251095,0.189686,-2.52619
0.0001617630922,0.307953,0.258806,0.195887,-3.3681
0.0001650964255,0.314358,0.264771,0.201237,-4.06282
0.0001684297588,0.317534,0.268748,0.205592,-4.57996
0.0001717630922,0.317277,0.270577,0.208849,-4.89695
0.0001750964255,0.313529,0.270187,0.210952,-4.99991
0.0001784297588,0.30638,0.2676,0.211891,-4.88435
