"FREQ","Butterworth2","Bessel2","Chebychev2","Butterworth3","Bessel3","Chebychev3"
10,-80.0013,-75.821,-85.7134,-120.004,-111.148,-132.034
12.58925412,-76.0013,-71.8214,-81.7132,-114.004,-105.149,-126.034
15.84893192,-72.0013,-67.8221,-77.7129,-108.004,-99.1495,-120.033
19.95262315,-68.0013,-63.8231,-73.7125,-102.004,-93.1507,-114.033
25.11886432,-64.0013,-59.8248,-69.7117,-96.0038,-87.1527,-108.031
31.6227766,-60.0013,-55.8274,-65.7106,-90.0038,-81.1557,-102.029
39.81071706,-56.0013,-51.8315,-61.7087,-84.0038,-75.1606,-96.0248
50.11872336,-52.0013,-47.838,-57.7058,-78.0038,-69.1684,-90.0187
63.09573445,-48.0013,-43.8484,-53.7011,-72.0038,-63.1807,-84.009
79.43282347,-44.0014,-39.8649,-49.6937,-66.0038,-57.2003,-77.9938
100,-40.0017,-35.8912,-45.6819,-60.0037,-51.2317,-71.9695
125.8925412,-36.0023,-31.9331,-41.6633,-54.0037,-45.2822,-65.9308
158.4893192,-32.0039,-28.0003,-37.6338,-48.0037,-39.364,-59.8692
199.5262315,-28.008,-24.1084,-33.5871,-42.0037,-33.4981,-53.7707
251.1886432,-24.0183,-20.2834,-29.5131,-36.0043,-27.7217,-47.6123
316.227766,-20.0442,-16.5685,-25.3959,-30.0074,-22.103,-41.3553
398.1071706,-16.1086,-13.0335,-21.2108,-24.0201,-16.7678,-34.9327
501.1872336,-12.2664,-9.78414,-16.9199,-18.0716,-11.9353,-28.2214
630.9573445,-8.63938,-6.95762,-12.47,-12.2714,-7.91253,-20.9794
794.3282347,-5.45582,-4.68289,-7.80804,-6.98698,-4.94654,-12.703
1000,-3.01099,-3.01156,-3.00745,-3.03961,-3.01043,-3.1332
1258.925412,-1.45668,-1.88243,1.17503,-1.01543,-1.83645,-0.833061
1584.893192,-0.640822,-1.16311,2.96181,-0.311543,-1.1373,-2.66513
1995.262315,-0.268114,-0.718295,2.58691,-0.113377,-0.716484,-3.10983
2511.886432,-0.110456,-0.445605,1.78649,-0.0608785,-0.459195,-2.84194
3162.27766,-0.0461306,-0.278082,1.15717,-0.0467585,-0.299977,-2.31936
3981.071706,-0.0202981,-0.174572,0.734408,-0.0426742,-0.200689,-1.76538
5011.872336,-0.00999966,-0.110238,0.462084,-0.0413229,-0.138498,-1.28223
6309.573445,-0.00591284,-0.0700631,0.288984,-0.0408007,-0.0994533,-0.904067
7943.282347,-0.00430018,-0.0448904,0.179459,-0.0405925,-0.074928,-0.628389
10000,-0.00367226,-0.0290839,0.110273,-0.0405532,-0.059552,-0.436988
