"FREQ","NarrowBPF","WideBPF","Notch"
10,-54.0002,-59.0856,-0.000603578
10.23292992,-53.8001,-58.6856,-0.000604396
10.47128548,-53.6001,-58.2856,-0.000605252
10.71519305,-53.4,-57.8856,-0.000606148
10.96478196,-53.2,-57.4856,-0.000607087
11.22018454,-52.9999,-57.0856,-0.00060807
11.48153621,-52.7999,-56.6856,-0.000609099
11.74897555,-52.5998,-56.2856,-0.000610177
12.02264435,-52.3998,-55.8856,-0.000611306
12.30268771,-52.1997,-55.4856,-0.000612488
12.58925412,-51.9997,-55.0856,-0.000613725
12.88249552,-51.7996,-54.6856,-0.000615021
13.18256739,-51.5995,-54.2856,-0.000616378
13.48962883,-51.3995,-53.8856,-0.000617799
13.80384265,-51.1994,-53.4856,-0.000619288
14.12537545,-50.9993,-53.0856,-0.000620846
14.45439771,-50.7992,-52.6856,-0.000622478
14.79108388,-50.5992,-52.2856,-0.000624187
15.13561248,-50.3991,-51.8856,-0.000625976
15.48816619,-50.199,-51.4856,-0.00062785
15.84893192,-49.9989,-51.0856,-0.000629812
16.21810097,-49.7988,-50.6856,-0.000631867
16.59586907,-49.5987,-50.2857,-0.000634018
16.98243652,-49.3986,-49.8857,-0.000636272
17.37800829,-49.1985,-49.4857,-0.000638631
17.7827941,-48.9983,-49.0857,-0.000641102
18.19700859,-48.7982,-48.6857,-0.00064369
18.62087137,-48.5981,-48.2857,-0.000646399
19.05460718,-48.3979,-47.8857,-0.000649237
19.498446,-48.1978,-47.4857,-0.000652208
19.95262315,-47.9976,-47.0857,-0.00065532
20.41737945,-47.7975,-46.6857,-0.000658578
20.89296131,-47.5973,-46.2857,-0.000661991
21.3796209,-47.3971,-45.8857,-0.000665564
21.87761624,-47.1969,-45.4857,-0.000669306
22.38721139,-46.9968,-45.0857,-0.000673225
22.90867653,-46.7966,-44.6858,-0.000677329
23.44228815,-46.5963,-44.2858,-0.000681627
23.98832919,-46.3961,-43.8858,-0.000686128
24.54708916,-46.1959,-43.4858,-0.000690841
25.11886432,-45.9956,-43.0858,-0.000695777
25.70395783,-45.7954,-42.6858,-0.000700946
26.30267992,-45.5951,-42.2859,-0.00070636
26.91534804,-45.3949,-41.8859,-0.000712029
27.54228703,-45.1946,-41.4859,-0.000717967
28.18382931,-44.9943,-41.0859,-0.000724185
28.84031503,-44.7939,-40.686,-0.000730697
29.51209227,-44.5936,-40.286,-0.000737517
30.1995172,-44.3933,-39.886,-0.000744659
30.90295433,-44.1929,-39.4861,-0.00075214
31.6227766,-43.9925,-39.0861,-0.000759974
32.35936569,-43.7921,-38.6862,-0.000768179
33.11311215,-43.5917,-38.2862,-0.000776773
33.88441561,-43.3912,-37.8863,-0.000785773
34.67368505,-43.1908,-37.4864,-0.000795199
35.48133892,-42.9903,-37.0864,-0.000805072
36.30780548,-42.7898,-36.6865,-0.000815412
37.15352291,-42.5893,-36.2866,-0.000826242
38.01893963,-42.3887,-35.8867,-0.000837586
38.9045145,-42.1881,-35.4868,-0.000849467
39.81071706,-41.9875,-35.0869,-0.000861912
40.73802778,-41.7869,-34.6871,-0.000874947
41.68693835,-41.5862,-34.2872,-0.0008886
42.65795188,-41.3855,-33.8874,-0.000902902
43.65158322,-41.1848,-33.4875,-0.000917882
44.66835922,-40.984,-33.0877,-0.000933574
45.70881896,-40.7832,-32.6879,-0.000950011
46.77351413,-40.5824,-32.2882,-0.00096723
47.86300923,-40.3815,-31.8884,-0.000985267
48.97788194,-40.1806,-31.4887,-0.00100416
50.11872336,-39.9796,-31.089,-0.00102396
51.2861384,-39.7786,-30.6893,-0.00104469
52.48074602,-39.5775,-30.2897,-0.00106642
53.70317964,-39.3764,-29.89,-0.00108918
54.95408739,-39.1753,-29.4905,-0.00111302
56.23413252,-38.9741,-29.0909,-0.00113801
57.54399373,-38.7728,-28.6915,-0.00116418
58.88436554,-38.5715,-28.292,-0.00119161
60.25595861,-38.3701,-27.8926,-0.00122034
61.65950019,-38.1686,-27.4933,-0.00125045
63.09573445,-37.9671,-27.0941,-0.001282
64.5654229,-37.7655,-26.6949,-0.00131506
66.0693448,-37.5638,-26.2958,-0.00134971
67.60829754,-37.362,-25.8968,-0.00138602
69.18309709,-37.1602,-25.4978,-0.00142407
70.79457844,-36.9583,-25.099,-0.00146395
72.44359601,-36.7562,-24.7003,-0.00150575
74.13102413,-36.5541,-24.3017,-0.00154955
75.8577575,-36.3519,-23.9033,-0.00159547
77.62471166,-36.1496,-23.505,-0.00164361
79.43282347,-35.9472,-23.1069,-0.00169407
81.28305162,-35.7446,-22.7089,-0.00174696
83.17637711,-35.5419,-22.3111,-0.00180242
85.11380382,-35.3392,-21.9136,-0.00186056
87.096359,-35.1362,-21.5163,-0.00192153
89.12509381,-34.9332,-21.1192,-0.00198546
91.20108394,-34.73,-20.7225,-0.00205249
93.32543008,-34.5266,-20.326,-0.0021228
95.4992586,-34.3231,-19.9299,-0.00219653
97.7237221,-34.1194,-19.5342,-0.00227387
100,-33.9155,-19.1388,-0.00235499
102.3292992,-33.7115,-18.7439,-0.0024401
104.7128548,-33.5072,-18.3495,-0.00252938
107.1519305,-33.3028,-17.9556,-0.00262306
109.6478196,-33.0981,-17.5623,-0.00272137
112.2018454,-32.8932,-17.1697,-0.00282453
114.8153621,-32.6881,-16.7777,-0.0029328
117.4897555,-32.4828,-16.3865,-0.00304645
120.2264435,-32.2772,-15.9961,-0.00316576
123.0268771,-32.0713,-15.6066,-0.00329103
125.8925412,-31.8651,-15.2181,-0.00342256
128.8249552,-31.6587,-14.8307,-0.00356069
131.8256739,-31.4519,-14.4445,-0.00370578
134.8962883,-31.2448,-14.0595,-0.00385818
138.0384265,-31.0374,-13.6759,-0.00401831
141.2537545,-30.8296,-13.2939,-0.00418657
144.5439771,-30.6214,-12.9134,-0.00436341
147.9108388,-30.4129,-12.5348,-0.00454929
151.3561248,-30.2039,-12.1581,-0.00474472
154.8816619,-29.9945,-11.7835,-0.00495023
158.4893192,-29.7847,-11.4112,-0.00516638
162.1810097,-29.5744,-11.0414,-0.00539376
165.9586907,-29.3635,-10.6743,-0.00563302
169.8243652,-29.1522,-10.31,-0.00588484
173.7800829,-28.9403,-9.94884,-0.00614993
177.827941,-28.7278,-9.59104,-0.00642907
181.9700859,-28.5147,-9.23684,-0.00672308
186.2087137,-28.301,-8.88651,-0.00703284
190.5460718,-28.0866,-8.54034,-0.00735929
194.98446,-27.8715,-8.19859,-0.00770343
199.5262315,-27.6557,-7.86159,-0.00806635
204.1737945,-27.4391,-7.52963,-0.00844919
208.9296131,-27.2217,-7.20302,-0.0088532
213.796209,-27.0034,-6.8821,-0.0092797
218.7761624,-26.7842,-6.56719,-0.00973013
223.8721139,-26.5641,-6.25861,-0.010206
229.0867653,-26.343,-5.95669,-0.010709
234.4228815,-26.1208,-5.66174,-0.0112409
239.8832919,-25.8976,-5.37409,-0.0118037
245.4708916,-25.6731,-5.09402,-0.0123993
251.1886432,-25.4475,-4.82183,-0.0130302
257.0395783,-25.2206,-4.55777,-0.0136986
263.0267992,-24.9923,-4.3021,-0.0144074
269.1534804,-24.7625,-4.05504,-0.0151593
275.4228703,-24.5313,-3.81676,-0.0159575
281.8382931,-24.2985,-3.58743,-0.0168055
288.4031503,-24.064,-3.36717,-0.0177069
295.1209227,-23.8278,-3.15606,-0.0186659
301.995172,-23.5897,-2.95415,-0.0196869
309.0295433,-23.3496,-2.76145,-0.0207749
316.227766,-23.1074,-2.57793,-0.0219352
323.5936569,-22.8631,-2.40352,-0.0231738
331.1311215,-22.6164,-2.23811,-0.0244973
338.8441561,-22.3673,-2.08157,-0.0259129
346.7368505,-22.1155,-1.93371,-0.0274287
354.8133892,-21.8611,-1.79434,-0.0290536
363.0780548,-21.6037,-1.66321,-0.0307975
371.5352291,-21.3432,-1.54008,-0.0326715
380.1893963,-21.0794,-1.42467,-0.034688
389.045145,-20.8121,-1.31668,-0.036861
398.1071706,-20.5412,-1.21581,-0.0392061
407.3802778,-20.2663,-1.12175,-0.0417409
416.8693835,-19.9872,-1.03416,-0.0444854
426.5795188,-19.7037,-0.95273,-0.0474622
436.5158322,-19.4154,-0.877131,-0.0506971
446.6835922,-19.1221,-0.80704,-0.0542195
457.0881896,-18.8233,-0.742142,-0.0580632
467.7351413,-18.5187,-0.682127,-0.062267
478.6300923,-18.208,-0.626692,-0.0668759
489.7788194,-17.8906,-0.575547,-0.0719419
501.1872336,-17.566,-0.528412,-0.0775258
512.861384,-17.2338,-0.48502,-0.0836987
524.8074602,-16.8934,-0.445114,-0.0905443
537.0317964,-16.544,-0.408453,-0.098162
549.5408739,-16.1851,-0.374807,-0.10667
562.3413252,-15.8157,-0.343962,-0.116209
575.4399373,-15.4351,-0.315714,-0.12695
588.8436554,-15.0423,-0.289874,-0.139101
602.5595861,-14.6361,-0.266266,-0.152915
616.5950019,-14.2155,-0.244725,-0.168705
630.9573445,-13.7789,-0.225099,-0.186861
645.654229,-13.325,-0.207247,-0.207873
