"TIME","Vin","Notch","NarrowBPF"
0,0,-0.0100009,-0.00499968
3.333333333e-007,0.0104718,-0.0177017,-0.00499918
3.499331376e-007,0.0109933,-0.018102,-0.00499915
3.83132746e-007,0.0120363,-0.0189371,-0.00499947
4.495319629e-007,0.0141222,-0.0207315,-0.00500011
5.823303967e-007,0.0182941,-0.0246118,-0.00500248
8.479272644e-007,0.026638,-0.0328005,-0.00500949
1.167534585e-006,0.0366785,-0.0428467,-0.00502159
1.636391632e-006,0.0514079,-0.0575843,-0.00504658
2.232126613e-006,0.0701201,-0.0762658,-0.00509078
3.05902307e-006,0.0960933,-0.102155,-0.00517523
4.153980999e-006,0.130486,-0.136391,-0.00532832
5.657535582e-006,0.177688,-0.183317,-0.00561498
7.693391757e-006,0.241601,-0.24669,-0.00614376
1.049893922e-005,0.329595,-0.333694,-0.00713644
1.349120047e-005,0.423331,-0.426041,-0.00853063
1.724718232e-005,0.540776,-0.541258,-0.0107671
2.162827114e-005,0.677383,-0.674591,-0.0140534
2.717589557e-005,0.849613,-0.84165,-0.0192473
3.40192024e-005,1.06063,-1.04473,-0.027213
4.276982343e-005,1.32754,-1.29908,-0.0398352
5.391406257e-005,1.66155,-1.61333,-0.0596968
6.739426959e-005,2.05454,-1.97713,-0.0890262
8.400504879e-005,2.51825,-2.39771,-0.132363
0.0001075042147,3.12632,-2.93359,-0.204889
0.000140837548,3.86928,-3.55915,-0.322879
0.0001741708814,4.44315,-4.00846,-0.448094
0.0002075042147,4.82282,-4.26869,-0.568244
0.000240837548,4.99172,-4.33587,-0.670679
0.0002741708814,4.94245,-4.21452,-0.743455
0.0003075042147,4.67717,-3.91712,-0.776221
0.000340837548,4.20748,-3.46323,-0.760979
0.0003741708814,3.5539,-2.87842,-0.692683
0.0004075042147,2.745,-2.19289,-0.56967
0.000440837548,1.81613,-1.44004,-0.39388
0.0004741708814,0.807888,-0.654914,-0.170867
0.0005075042147,-0.235665,0.127389,0.0904047
0.000540837548,-1.26892,0.873211,0.37798
0.0005741708814,-2.24671,1.55174,0.677504
0.0006075042147,-3.12632,2.13622,0.972979
0.000640837548,-3.86928,2.60497,1.24763
0.0006741708814,-4.44315,2.94212,1.48482
0.0007075042147,-4.82282,3.13809,1.66904
0.000740837548,-4.99172,3.18978,1.78678
0.0007741708814,-4.94245,3.10042,1.82738
0.0008075042147,-4.67717,2.87929,1.78372
0.000840837548,-4.20748,2.54098,1.65276
0.0008741708814,-3.5539,2.10467,1.43585
0.0009075042147,-2.745,1.59306,1.13883
0.000940837548,-1.81613,1.03129,0.771906
0.0009741708814,-0.807888,0.445761,0.349274
0.001007504215,0.235665,-0.137081,-0.111451
0.001040837548,1.26892,-0.691876,-0.590015
0.001074170881,2.24671,-1.19542,-1.06445
0.001107504215,3.12632,-1.62761,-1.51213
0.001140837548,3.86928,-1.97219,-1.91084
0.001174170881,4.44315,-2.21733,-2.23992
0.001207504215,4.82282,-2.35599,-2.48132
0.001240837548,4.99172,-2.38606,-2.62055
0.001274170881,4.94245,-2.31025,-2.64747
0.001307504215,4.67717,-2.13584,-2.55697
0.001340837548,4.20748,-1.87416,-2.34926
0.001374170881,3.5539,-1.54001,-2.03011
0.001407504215,2.745,-1.15079,-1.61062
0.001440837548,1.81613,-0.725753,-1.10692
0.001474170881,0.807888,-0.285017,-0.539465
0.001507504215,-0.235665,0.151317,0.0677682
0.001540837548,-1.26892,0.564059,0.688363
0.001574170881,-2.24671,0.935742,1.29462
0.001607504215,-3.12632,1.25134,1.85883
